	129_M_P_sh_L_ND_A_01.c3d	129_M_P_sh_L_ND_A_01.c3d	129_M_P_sh_L_ND_A_01.c3d	129_M_P_sh_L_ND_A_01.c3d	129_M_P_sh_L_ND_A_01.c3d	129_M_P_sh_L_ND_A_01.c3d	129_M_P_sh_L_ND_A_01.c3d	129_M_P_sh_L_ND_A_01.c3d	129_M_P_sh_L_ND_A_03.c3d	129_M_P_sh_L_ND_A_03.c3d	129_M_P_sh_L_ND_A_03.c3d	129_M_P_sh_L_ND_A_03.c3d	129_M_P_sh_L_ND_A_03.c3d	129_M_P_sh_L_ND_A_03.c3d	129_M_P_sh_L_ND_A_03.c3d	129_M_P_sh_L_ND_A_03.c3d	129_M_P_sh_L_ND_A_04.c3d	129_M_P_sh_L_ND_A_04.c3d	129_M_P_sh_L_ND_A_04.c3d	129_M_P_sh_L_ND_A_04.c3d	129_M_P_sh_L_ND_A_04.c3d	129_M_P_sh_L_ND_A_04.c3d	129_M_P_sh_L_ND_A_04.c3d	129_M_P_sh_L_ND_A_04.c3d	129_M_P_sh_L_ND_A_05.c3d	129_M_P_sh_L_ND_A_05.c3d	129_M_P_sh_L_ND_A_05.c3d	129_M_P_sh_L_ND_A_05.c3d	129_M_P_sh_L_ND_A_05.c3d	129_M_P_sh_L_ND_A_05.c3d	129_M_P_sh_L_ND_A_05.c3d	129_M_P_sh_L_ND_A_05.c3d	129_M_P_sh_L_ND_A_06.c3d	129_M_P_sh_L_ND_A_06.c3d	129_M_P_sh_L_ND_A_06.c3d	129_M_P_sh_L_ND_A_06.c3d	129_M_P_sh_L_ND_A_06.c3d	129_M_P_sh_L_ND_A_06.c3d	129_M_P_sh_L_ND_A_06.c3d	129_M_P_sh_L_ND_A_06.c3d	129_M_P_sh_L_ND_A_08.c3d	129_M_P_sh_L_ND_A_08.c3d	129_M_P_sh_L_ND_A_08.c3d	129_M_P_sh_L_ND_A_08.c3d	129_M_P_sh_L_ND_A_08.c3d	129_M_P_sh_L_ND_A_08.c3d	129_M_P_sh_L_ND_A_08.c3d	129_M_P_sh_L_ND_A_08.c3d	129_M_P_sh_L_ND_A_10.c3d	129_M_P_sh_L_ND_A_10.c3d	129_M_P_sh_L_ND_A_10.c3d	129_M_P_sh_L_ND_A_10.c3d	129_M_P_sh_L_ND_A_10.c3d	129_M_P_sh_L_ND_A_10.c3d	129_M_P_sh_L_ND_A_10.c3d	129_M_P_sh_L_ND_A_10.c3d
	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med
	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D
	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	0.300735	0.235347	0.129664	0.409271	0.235297	0.263854	0.163588	0.322924	0.277645	0.378285	0.214066	0.451949	0.197855	0.449817	0.181544	0.188082	0.226917	0.449796	0.210858	0.370260	0.267396	0.417337	0.301329	0.375560	0.173700	0.302502	0.337211	0.611090	0.234220	0.230328	0.101671	0.183962	0.128963	0.275092	0.095244	0.344274	0.124096	0.273963	0.055486	0.062925	0.173324	0.152755	0.161461	0.211488	0.117288	0.210294	0.115889	0.135910	0.197734	0.169820	0.168048	0.330267	0.216272	0.081366	0.132545	0.071889
2	0.301319	0.240396	0.121851	0.440602	0.228551	0.267829	0.150514	0.330160	0.279050	0.378532	0.220334	0.452288	0.198130	0.443529	0.189088	0.191835	0.227970	0.467359	0.222388	0.379391	0.317606	0.485749	0.300591	0.417443	0.180793	0.307361	0.344794	0.610590	0.237163	0.249585	0.100769	0.173777	0.131783	0.278237	0.082496	0.358725	0.137165	0.268218	0.058385	0.063070	0.163711	0.151514	0.153090	0.205694	0.124931	0.220071	0.113078	0.138397	0.197641	0.169908	0.157960	0.309193	0.216668	0.101557	0.134333	0.074803
3	0.313309	0.243841	0.118724	0.447930	0.224304	0.266344	0.137886	0.329001	0.277356	0.381316	0.220789	0.452985	0.208646	0.412624	0.190111	0.193092	0.235601	0.467901	0.226561	0.385078	0.362329	0.518276	0.302140	0.438528	0.192239	0.315371	0.323109	0.603992	0.250381	0.259191	0.099425	0.158677	0.138432	0.288487	0.081489	0.391051	0.148939	0.245944	0.066271	0.065790	0.154311	0.134461	0.156597	0.205175	0.142651	0.220698	0.112859	0.134782	0.193994	0.170464	0.157148	0.289921	0.205800	0.112917	0.136772	0.074303
4	0.317697	0.245045	0.119427	0.447956	0.228720	0.250195	0.128753	0.314227	0.273444	0.398240	0.230466	0.455586	0.221676	0.381197	0.191668	0.195480	0.246831	0.486677	0.229061	0.422937	0.386619	0.527684	0.305107	0.443878	0.202518	0.309871	0.299408	0.566273	0.265529	0.265500	0.099879	0.157546	0.139253	0.300958	0.096231	0.410360	0.155770	0.224848	0.067258	0.065204	0.153449	0.105717	0.141103	0.187133	0.154364	0.215670	0.114646	0.134578	0.187557	0.173103	0.157322	0.287014	0.187664	0.116473	0.131208	0.072027
5	0.330503	0.289449	0.136320	0.466677	0.226756	0.215400	0.117333	0.281707	0.269700	0.433161	0.246170	0.459188	0.222562	0.346862	0.191412	0.199748	0.250197	0.543467	0.227172	0.497564	0.398766	0.528729	0.308659	0.443499	0.202822	0.284505	0.340865	0.507212	0.267879	0.245426	0.095632	0.156589	0.131253	0.282502	0.118442	0.409372	0.153334	0.225082	0.072189	0.097738	0.155999	0.090491	0.114478	0.149939	0.154964	0.207384	0.115661	0.139818	0.183726	0.169720	0.162094	0.287177	0.186776	0.118275	0.128280	0.072217
6	0.390509	0.329970	0.155845	0.522067	0.209039	0.169368	0.092481	0.248224	0.266052	0.464570	0.256387	0.465701	0.210205	0.333369	0.186568	0.197696	0.257785	0.614442	0.227645	0.567749	0.411366	0.529011	0.310349	0.440107	0.200690	0.255299	0.320069	0.485577	0.277663	0.226420	0.086701	0.178343	0.118833	0.267598	0.128895	0.393001	0.152389	0.228583	0.072039	0.101713	0.160389	0.077562	0.102717	0.105307	0.154954	0.204085	0.115750	0.135874	0.186945	0.162538	0.170352	0.283898	0.181447	0.124377	0.126723	0.075906
