	119_F_P_sh_L_ND_A_01.c3d	119_F_P_sh_L_ND_A_01.c3d	119_F_P_sh_L_ND_A_01.c3d	119_F_P_sh_L_ND_A_01.c3d	119_F_P_sh_L_ND_A_01.c3d	119_F_P_sh_L_ND_A_01.c3d	119_F_P_sh_L_ND_A_01.c3d	119_F_P_sh_L_ND_A_01.c3d	119_F_P_sh_L_ND_A_02.c3d	119_F_P_sh_L_ND_A_02.c3d	119_F_P_sh_L_ND_A_02.c3d	119_F_P_sh_L_ND_A_02.c3d	119_F_P_sh_L_ND_A_02.c3d	119_F_P_sh_L_ND_A_02.c3d	119_F_P_sh_L_ND_A_02.c3d	119_F_P_sh_L_ND_A_02.c3d	119_F_P_sh_L_ND_A_03.c3d	119_F_P_sh_L_ND_A_03.c3d	119_F_P_sh_L_ND_A_03.c3d	119_F_P_sh_L_ND_A_03.c3d	119_F_P_sh_L_ND_A_03.c3d	119_F_P_sh_L_ND_A_03.c3d	119_F_P_sh_L_ND_A_03.c3d	119_F_P_sh_L_ND_A_03.c3d	119_F_P_sh_L_ND_A_04.c3d	119_F_P_sh_L_ND_A_04.c3d	119_F_P_sh_L_ND_A_04.c3d	119_F_P_sh_L_ND_A_04.c3d	119_F_P_sh_L_ND_A_04.c3d	119_F_P_sh_L_ND_A_04.c3d	119_F_P_sh_L_ND_A_04.c3d	119_F_P_sh_L_ND_A_04.c3d	119_F_P_sh_L_ND_A_05.c3d	119_F_P_sh_L_ND_A_05.c3d	119_F_P_sh_L_ND_A_05.c3d	119_F_P_sh_L_ND_A_05.c3d	119_F_P_sh_L_ND_A_05.c3d	119_F_P_sh_L_ND_A_05.c3d	119_F_P_sh_L_ND_A_05.c3d	119_F_P_sh_L_ND_A_05.c3d	119_F_P_sh_L_ND_A_06.c3d	119_F_P_sh_L_ND_A_06.c3d	119_F_P_sh_L_ND_A_06.c3d	119_F_P_sh_L_ND_A_06.c3d	119_F_P_sh_L_ND_A_06.c3d	119_F_P_sh_L_ND_A_06.c3d	119_F_P_sh_L_ND_A_06.c3d	119_F_P_sh_L_ND_A_06.c3d	119_F_P_sh_L_ND_A_07.c3d	119_F_P_sh_L_ND_A_07.c3d	119_F_P_sh_L_ND_A_07.c3d	119_F_P_sh_L_ND_A_07.c3d	119_F_P_sh_L_ND_A_07.c3d	119_F_P_sh_L_ND_A_07.c3d	119_F_P_sh_L_ND_A_07.c3d	119_F_P_sh_L_ND_A_07.c3d	119_F_P_sh_L_ND_A_08.c3d	119_F_P_sh_L_ND_A_08.c3d	119_F_P_sh_L_ND_A_08.c3d	119_F_P_sh_L_ND_A_08.c3d	119_F_P_sh_L_ND_A_08.c3d	119_F_P_sh_L_ND_A_08.c3d	119_F_P_sh_L_ND_A_08.c3d	119_F_P_sh_L_ND_A_08.c3d	119_F_P_sh_L_ND_A_09.c3d	119_F_P_sh_L_ND_A_09.c3d	119_F_P_sh_L_ND_A_09.c3d	119_F_P_sh_L_ND_A_09.c3d	119_F_P_sh_L_ND_A_09.c3d	119_F_P_sh_L_ND_A_09.c3d	119_F_P_sh_L_ND_A_09.c3d	119_F_P_sh_L_ND_A_09.c3d	119_F_P_sh_L_ND_A_10.c3d	119_F_P_sh_L_ND_A_10.c3d	119_F_P_sh_L_ND_A_10.c3d	119_F_P_sh_L_ND_A_10.c3d	119_F_P_sh_L_ND_A_10.c3d	119_F_P_sh_L_ND_A_10.c3d	119_F_P_sh_L_ND_A_10.c3d	119_F_P_sh_L_ND_A_10.c3d
	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med
	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D
	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	0.208440	0.536016	0.469027	0.308445	0.179769	0.682255	0.302778	0.164404	0.342499	0.507585	0.483744	0.163080	0.244514	0.339254	0.349538	0.195460	0.134083	0.495471	0.693416	0.488317	0.529279	0.284702	0.475829	0.681555	0.278248	0.583452	0.447058	0.438706	0.402690	0.271878	0.321152	0.253335	0.258512	0.399099	0.443490	0.241254	0.259188	0.284553	0.289646	0.120954	0.160020	0.492214	0.416560	0.271686	0.572617	0.257953	0.787625	0.165491	0.156619	0.277609	0.407960	0.390632	0.194058	0.248368	0.255061	0.285190	0.171042	0.830549	0.316666	0.135970	0.314571	0.287504	0.377980	0.076345	0.241797	0.544732	0.264033	0.373810	0.448120	0.280802	0.317124	0.361133	0.245692	0.331498	0.335489	0.048180	0.165224	0.517261	0.499969	0.126212
2	0.158184	0.493862	0.442665	0.320260	0.211741	0.680372	0.309372	0.168185	0.345067	0.435236	0.469067	0.171691	0.294841	0.459726	0.423335	0.170443	0.109724	0.394174	0.684119	0.477901	0.617598	0.283484	0.503683	0.689714	0.262069	0.577249	0.446485	0.445415	0.397788	0.276510	0.332325	0.308909	0.268050	0.402663	0.478125	0.232891	0.236006	0.291969	0.286586	0.106482	0.188249	0.462513	0.407433	0.272063	0.635941	0.266567	0.764777	0.175926	0.159594	0.283370	0.415925	0.401285	0.184174	0.251844	0.258111	0.301148	0.175492	0.790971	0.290738	0.137293	0.309928	0.278859	0.344490	0.071786	0.242629	0.542514	0.289596	0.375762	0.447047	0.295033	0.309288	0.325160	0.231197	0.328010	0.335427	0.047042	0.195456	0.539875	0.586800	0.141355
3	0.178725	0.388318	0.488721	0.369518	0.235921	0.650946	0.319077	0.153324	0.345859	0.425333	0.487332	0.216358	0.306781	0.470400	0.430793	0.178909	0.133544	0.357539	0.631992	0.455402	0.657206	0.282241	0.504935	0.700398	0.257124	0.570229	0.452011	0.467669	0.397360	0.274747	0.333589	0.367792	0.269025	0.417244	0.474015	0.205627	0.227556	0.320024	0.282833	0.106194	0.195127	0.549941	0.407224	0.272139	0.680662	0.267228	0.712455	0.169846	0.166334	0.337815	0.426833	0.406941	0.193652	0.253198	0.282188	0.329839	0.236321	0.757351	0.286495	0.202051	0.295060	0.297391	0.266890	0.059997	0.247741	0.535111	0.317749	0.460232	0.440866	0.299275	0.300121	0.357057	0.225309	0.328890	0.327891	0.053203	0.207290	0.545092	0.625292	0.158747
4	0.199552	0.371472	0.550332	0.428927	0.236492	0.554098	0.321887	0.140113	0.338832	0.430284	0.475915	0.239711	0.302069	0.607124	0.432720	0.197719	0.132866	0.364991	0.565660	0.429176	0.632054	0.359326	0.549662	0.698846	0.255656	0.572638	0.413117	0.464340	0.378303	0.256707	0.336627	0.391121	0.276573	0.456071	0.458278	0.167305	0.187234	0.352110	0.230456	0.088015	0.240741	0.577300	0.402802	0.274807	0.670357	0.342876	0.716504	0.156017	0.169014	0.390366	0.431345	0.426771	0.233428	0.251048	0.288605	0.325559	0.273550	0.759095	0.357021	0.296024	0.289236	0.323618	0.253372	0.060473	0.249719	0.537078	0.344690	0.515530	0.420363	0.333408	0.309607	0.411693	0.243864	0.363242	0.334985	0.065657	0.211914	0.521226	0.649202	0.166457
5	0.200786	0.461486	0.576065	0.458706	0.265433	0.452754	0.328968	0.138555	0.338103	0.421803	0.467120	0.243179	0.301503	0.702636	0.425970	0.187994	0.145865	0.379898	0.496466	0.407081	0.593004	0.392848	0.600917	0.659980	0.251484	0.558888	0.393957	0.432982	0.385255	0.257036	0.339056	0.397314	0.312015	0.483783	0.455168	0.125781	0.168394	0.380858	0.244002	0.077852	0.251251	0.607329	0.403006	0.278189	0.689379	0.347673	0.762097	0.155787	0.190319	0.436175	0.435931	0.473758	0.242170	0.250796	0.286869	0.321093	0.273840	0.746323	0.434690	0.339323	0.262827	0.318476	0.254005	0.058951	0.246376	0.460859	0.356666	0.526951	0.405288	0.410745	0.318808	0.424139	0.239449	0.370493	0.334958	0.065824	0.215042	0.497887	0.676852	0.175239
6	0.203718	0.518421	0.566298	0.467442	0.266733	0.456496	0.335250	0.137589	0.345791	0.397544	0.489527	0.282139	0.316487	0.692527	0.415438	0.164152	0.175070	0.462181	0.486094	0.376009	0.497554	0.398854	0.602196	0.519499	0.258408	0.548602	0.438219	0.467393	0.387900	0.345489	0.332422	0.398601	0.308211	0.479446	0.452319	0.115100	0.200113	0.397347	0.262425	0.073005	0.251873	0.636809	0.397223	0.295104	0.737637	0.349678	0.774788	0.156732	0.222808	0.507340	0.452025	0.535946	0.218731	0.222053	0.339857	0.330479	0.277115	0.721072	0.459117	0.351222	0.257118	0.306163	0.253827	0.053932	0.248665	0.448766	0.393497	0.529051	0.404040	0.396285	0.303642	0.426416	0.229606	0.345602	0.364214	0.069590	0.214813	0.507329	0.694375	0.181131
