	212_C_T1_sh_ND_02.c3d	212_C_T1_sh_ND_02.c3d	212_C_T1_sh_ND_02.c3d	212_C_T1_sh_ND_02.c3d	212_C_T1_sh_ND_02.c3d	212_C_T1_sh_ND_02.c3d	212_C_T1_sh_ND_02.c3d	212_C_T1_sh_ND_02.c3d	212_C_T1_sh_ND_03.c3d	212_C_T1_sh_ND_03.c3d	212_C_T1_sh_ND_03.c3d	212_C_T1_sh_ND_03.c3d	212_C_T1_sh_ND_03.c3d	212_C_T1_sh_ND_03.c3d	212_C_T1_sh_ND_03.c3d	212_C_T1_sh_ND_03.c3d	212_C_T1_sh_ND_04.c3d	212_C_T1_sh_ND_04.c3d	212_C_T1_sh_ND_04.c3d	212_C_T1_sh_ND_04.c3d	212_C_T1_sh_ND_04.c3d	212_C_T1_sh_ND_04.c3d	212_C_T1_sh_ND_04.c3d	212_C_T1_sh_ND_04.c3d	212_C_T1_sh_ND_05.c3d	212_C_T1_sh_ND_05.c3d	212_C_T1_sh_ND_05.c3d	212_C_T1_sh_ND_05.c3d	212_C_T1_sh_ND_05.c3d	212_C_T1_sh_ND_05.c3d	212_C_T1_sh_ND_05.c3d	212_C_T1_sh_ND_05.c3d	212_C_T1_sh_ND_07.c3d	212_C_T1_sh_ND_07.c3d	212_C_T1_sh_ND_07.c3d	212_C_T1_sh_ND_07.c3d	212_C_T1_sh_ND_07.c3d	212_C_T1_sh_ND_07.c3d	212_C_T1_sh_ND_07.c3d	212_C_T1_sh_ND_07.c3d	212_C_T1_sh_ND_08.c3d	212_C_T1_sh_ND_08.c3d	212_C_T1_sh_ND_08.c3d	212_C_T1_sh_ND_08.c3d	212_C_T1_sh_ND_08.c3d	212_C_T1_sh_ND_08.c3d	212_C_T1_sh_ND_08.c3d	212_C_T1_sh_ND_08.c3d	212_C_T1_sh_ND_10.c3d	212_C_T1_sh_ND_10.c3d	212_C_T1_sh_ND_10.c3d	212_C_T1_sh_ND_10.c3d	212_C_T1_sh_ND_10.c3d	212_C_T1_sh_ND_10.c3d	212_C_T1_sh_ND_10.c3d	212_C_T1_sh_ND_10.c3d
	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med
	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D
	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	0.136183	0.137967	0.148939	0.380119	0.421204	0.198365	0.116019	0.112993	0.136981	0.053150	0.130724	0.174226	0.197300	0.088899	0.153367	0.218017	0.189422	0.182838	0.144660	0.119848	0.195045	0.084940	0.111280	0.121675	0.116895	0.067355	0.161091	0.172603	0.064486	0.033077	0.087473	0.085190	0.072737	0.052865	0.094798	0.097667	0.131476	0.078167	0.172508	0.101767	0.100125	0.082174	0.085808	0.078313	0.148287	0.088529	0.176610	0.244423	0.215027	0.142977	0.137880	0.194177	0.152136	0.031550	0.081163	0.163945
2	0.134159	0.136769	0.128005	0.374600	0.419872	0.195425	0.114685	0.103717	0.139240	0.052779	0.132326	0.173062	0.197527	0.089932	0.162168	0.227818	0.191165	0.140826	0.141229	0.243657	0.206282	0.092882	0.113329	0.145058	0.121979	0.073646	0.147106	0.175056	0.068141	0.033658	0.108109	0.087040	0.071437	0.052497	0.089284	0.097911	0.133448	0.075394	0.180381	0.139008	0.079362	0.075278	0.100703	0.101259	0.154973	0.092693	0.175127	0.247380	0.218264	0.144443	0.173132	0.198726	0.128880	0.033104	0.062638	0.141630
3	0.131237	0.143939	0.134476	0.295531	0.440145	0.186401	0.109766	0.124611	0.150708	0.058068	0.144265	0.176386	0.196801	0.089948	0.265459	0.363886	0.184352	0.119780	0.141966	0.259333	0.208850	0.094031	0.115039	0.151400	0.121710	0.074089	0.134363	0.171418	0.071644	0.034249	0.101275	0.087062	0.068833	0.052562	0.087769	0.096558	0.111980	0.062615	0.182328	0.150534	0.079040	0.074012	0.097438	0.119643	0.151280	0.087556	0.172970	0.246881	0.234553	0.150717	0.187358	0.214064	0.125917	0.033909	0.077217	0.132294
4	0.151052	0.149292	0.146271	0.285862	0.440020	0.167665	0.121499	0.130995	0.159833	0.060960	0.163716	0.190161	0.214559	0.099634	0.279751	0.488296	0.129213	0.095699	0.148136	0.290228	0.199622	0.087623	0.114254	0.151998	0.129615	0.074820	0.147774	0.285110	0.058425	0.028959	0.101918	0.056399	0.069230	0.051282	0.070254	0.096493	0.100957	0.054556	0.181298	0.154569	0.084081	0.076794	0.095148	0.115282	0.148282	0.082874	0.174114	0.246027	0.233997	0.151268	0.204665	0.212418	0.115669	0.037335	0.078394	0.134909
5	0.168871	0.158040	0.124347	0.283392	0.401245	0.125401	0.138936	0.177440	0.161552	0.061356	0.179341	0.208668	0.226559	0.102222	0.288473	0.500588	0.108853	0.062327	0.141387	0.299500	0.174154	0.076629	0.138570	0.162592	0.159684	0.080026	0.172535	0.286639	0.049809	0.028544	0.123350	0.054899	0.072457	0.055889	0.057529	0.106082	0.098920	0.054624	0.181301	0.145020	0.093924	0.084914	0.094289	0.124092	0.140000	0.082777	0.157009	0.235799	0.224729	0.147496	0.202268	0.210803	0.052127	0.032329	0.077434	0.134700
6	0.154667	0.153004	0.092682	0.252155	0.321404	0.078590	0.157677	0.217634	0.158171	0.062428	0.180845	0.212841	0.175393	0.087708	0.308197	0.580187	0.107830	0.060026	0.135945	0.312376	0.169433	0.079030	0.140584	0.178388	0.183032	0.097346	0.204985	0.291663	0.053935	0.030418	0.137899	0.079796	0.072721	0.062307	0.058550	0.114249	0.096326	0.054691	0.182177	0.140883	0.118805	0.095966	0.112342	0.124806	0.137973	0.083768	0.148985	0.145312	0.174472	0.102060	0.174098	0.216590	0.050387	0.034756	0.074408	0.133067
