	221_C_T1_sh_ND_04.c3d	221_C_T1_sh_ND_04.c3d	221_C_T1_sh_ND_04.c3d	221_C_T1_sh_ND_04.c3d	221_C_T1_sh_ND_04.c3d	221_C_T1_sh_ND_04.c3d	221_C_T1_sh_ND_04.c3d	221_C_T1_sh_ND_04.c3d	221_C_T1_sh_ND_05.c3d	221_C_T1_sh_ND_05.c3d	221_C_T1_sh_ND_05.c3d	221_C_T1_sh_ND_05.c3d	221_C_T1_sh_ND_05.c3d	221_C_T1_sh_ND_05.c3d	221_C_T1_sh_ND_05.c3d	221_C_T1_sh_ND_05.c3d	221_C_T1_sh_ND_06.c3d	221_C_T1_sh_ND_06.c3d	221_C_T1_sh_ND_06.c3d	221_C_T1_sh_ND_06.c3d	221_C_T1_sh_ND_06.c3d	221_C_T1_sh_ND_06.c3d	221_C_T1_sh_ND_06.c3d	221_C_T1_sh_ND_06.c3d	221_C_T1_sh_ND_07.c3d	221_C_T1_sh_ND_07.c3d	221_C_T1_sh_ND_07.c3d	221_C_T1_sh_ND_07.c3d	221_C_T1_sh_ND_07.c3d	221_C_T1_sh_ND_07.c3d	221_C_T1_sh_ND_07.c3d	221_C_T1_sh_ND_07.c3d	221_C_T1_sh_ND_09.c3d	221_C_T1_sh_ND_09.c3d	221_C_T1_sh_ND_09.c3d	221_C_T1_sh_ND_09.c3d	221_C_T1_sh_ND_09.c3d	221_C_T1_sh_ND_09.c3d	221_C_T1_sh_ND_09.c3d	221_C_T1_sh_ND_09.c3d	221_C_T1_sh_ND_10.c3d	221_C_T1_sh_ND_10.c3d	221_C_T1_sh_ND_10.c3d	221_C_T1_sh_ND_10.c3d	221_C_T1_sh_ND_10.c3d	221_C_T1_sh_ND_10.c3d	221_C_T1_sh_ND_10.c3d	221_C_T1_sh_ND_10.c3d
	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med
	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D
	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	0.256942	0.332352	0.161023	0.250376	0.118195	0.188559	0.213138	0.102547	0.107894	0.144651	0.182050	0.175655	0.217683	0.545653	0.241275	0.074183	0.133784	0.132693	0.120376	0.304139	0.396351	0.202366	0.363753	0.490275	0.449250	0.564884	0.189443	0.229077	0.132248	0.182057	0.326412	0.224914	0.088860	0.065421	0.220701	0.260002	0.147637	0.200828	0.229173	0.265093	0.117192	0.127221	0.483051	0.698594	0.449147	0.633058	0.198393	0.325123
2	0.265990	0.312805	0.185175	0.231007	0.080555	0.145619	0.119566	0.164631	0.096269	0.109834	0.196099	0.175570	0.184107	0.438935	0.265148	0.076099	0.149144	0.143738	0.136090	0.302445	0.364363	0.174493	0.356018	0.370052	0.444806	0.557183	0.190134	0.232672	0.128074	0.206120	0.337115	0.220430	0.336293	0.100574	0.171874	0.331969	0.142887	0.200552	0.296388	0.280741	0.126467	0.119642	0.472079	0.659665	0.443466	0.606496	0.227893	0.328304
3	0.266778	0.281622	0.217119	0.305046	0.076463	0.136026	0.126100	0.204134	0.085212	0.107744	0.220223	0.187187	0.180457	0.394801	0.290640	0.075227	0.168011	0.147645	0.222616	0.301809	0.364828	0.180420	0.331160	0.315940	0.440958	0.508954	0.177172	0.228087	0.124625	0.194725	0.351646	0.220979	0.377321	0.116048	0.380139	0.413456	0.144225	0.198986	0.326222	0.380520	0.139328	0.115300	0.442349	0.550123	0.431996	0.534725	0.251233	0.312557
4	0.188248	0.223220	0.230492	0.333989	0.075639	0.142667	0.192998	0.205728	0.110669	0.133291	0.204484	0.383151	0.156661	0.394916	0.299173	0.091339	0.177249	0.156464	0.277271	0.295460	0.252185	0.193267	0.311338	0.305957	0.370667	0.441598	0.159937	0.191055	0.115745	0.174995	0.320398	0.215837	0.437900	0.151907	0.487025	0.452483	0.134617	0.182039	0.342807	0.448406	0.137502	0.104937	0.402907	0.511621	0.408405	0.477363	0.241690	0.283350
5	0.183012	0.179721	0.212113	0.332275	0.075478	0.141748	0.217488	0.222764	0.116414	0.137463	0.205823	0.403332	0.143618	0.395171	0.297759	0.136461	0.176329	0.156250	0.281671	0.284178	0.131693	0.183481	0.321844	0.304757	0.327327	0.431951	0.168516	0.240128	0.116550	0.178355	0.341148	0.206486	0.477466	0.175369	0.507986	0.582546	0.116270	0.154767	0.365631	0.460318	0.136153	0.095544	0.413921	0.506943	0.397204	0.469181	0.249268	0.277488
6	0.207334	0.206123	0.204679	0.380786	0.065659	0.108852	0.265749	0.230818	0.197205	0.190846	0.223068	0.554082	0.127340	0.394420	0.324654	0.216642	0.188022	0.163579	0.339786	0.272851	0.074912	0.176759	0.334948	0.290757	0.294422	0.419857	0.151427	0.304509	0.112278	0.175976	0.336042	0.285512	0.474594	0.190703	0.507830	0.611832	0.110609	0.135256	0.369569	0.465483	0.141448	0.090777	0.389489	0.490617	0.338227	0.464730	0.262552	0.237357
7	0.462534	0.341704	0.205918	0.425329	0.082728	0.120790	0.365328	0.246374	0.199705	0.196384	0.212114	0.618015	0.103281	0.394349	0.371638	0.304328	0.201421	0.165294	0.384799	0.276355	0.066202	0.174720	0.332276	0.236136	0.201625	0.351333	0.141479	0.294113	0.098883	0.180209	0.544609	0.393375	0.483441	0.304231	0.496904	0.595580	0.109631	0.171763	0.392803	0.486061	0.150035	0.092307	0.488596	0.398975	0.284953	0.446435	0.290782	0.185582
8	0.484727	0.412967	0.197445	0.414469	0.096610	0.170858	0.406242	0.239358	0.199998	0.199138	0.241535	0.619513	0.100066	0.375784	0.413002	0.320795	0.204228	0.158567	0.409585	0.290010	0.075340	0.192256	0.276701	0.198421	0.087815	0.301942	0.119477	0.302243	0.115218	0.212139	0.643426	0.447080	0.343523	0.319907	0.491463	0.538499	0.145277	0.184308	0.391532	0.500266	0.163721	0.095535	0.578125	0.265037	0.228718	0.362899	0.288966	0.168784
