	135_P_T1_sh_L_ND_A_01.c3d	135_P_T1_sh_L_ND_A_01.c3d	135_P_T1_sh_L_ND_A_01.c3d	135_P_T1_sh_L_ND_A_01.c3d	135_P_T1_sh_L_ND_A_01.c3d	135_P_T1_sh_L_ND_A_01.c3d	135_P_T1_sh_L_ND_A_01.c3d	135_P_T1_sh_L_ND_A_01.c3d	135_P_T1_sh_L_ND_A_03.c3d	135_P_T1_sh_L_ND_A_03.c3d	135_P_T1_sh_L_ND_A_03.c3d	135_P_T1_sh_L_ND_A_03.c3d	135_P_T1_sh_L_ND_A_03.c3d	135_P_T1_sh_L_ND_A_03.c3d	135_P_T1_sh_L_ND_A_03.c3d	135_P_T1_sh_L_ND_A_03.c3d	135_P_T1_sh_L_ND_A_04.c3d	135_P_T1_sh_L_ND_A_04.c3d	135_P_T1_sh_L_ND_A_04.c3d	135_P_T1_sh_L_ND_A_04.c3d	135_P_T1_sh_L_ND_A_04.c3d	135_P_T1_sh_L_ND_A_04.c3d	135_P_T1_sh_L_ND_A_04.c3d	135_P_T1_sh_L_ND_A_04.c3d	135_P_T1_sh_L_ND_A_05.c3d	135_P_T1_sh_L_ND_A_05.c3d	135_P_T1_sh_L_ND_A_05.c3d	135_P_T1_sh_L_ND_A_05.c3d	135_P_T1_sh_L_ND_A_05.c3d	135_P_T1_sh_L_ND_A_05.c3d	135_P_T1_sh_L_ND_A_05.c3d	135_P_T1_sh_L_ND_A_05.c3d	135_P_T1_sh_L_ND_A_06.c3d	135_P_T1_sh_L_ND_A_06.c3d	135_P_T1_sh_L_ND_A_06.c3d	135_P_T1_sh_L_ND_A_06.c3d	135_P_T1_sh_L_ND_A_06.c3d	135_P_T1_sh_L_ND_A_06.c3d	135_P_T1_sh_L_ND_A_06.c3d	135_P_T1_sh_L_ND_A_06.c3d	135_P_T1_sh_L_ND_A_08.c3d	135_P_T1_sh_L_ND_A_08.c3d	135_P_T1_sh_L_ND_A_08.c3d	135_P_T1_sh_L_ND_A_08.c3d	135_P_T1_sh_L_ND_A_08.c3d	135_P_T1_sh_L_ND_A_08.c3d	135_P_T1_sh_L_ND_A_08.c3d	135_P_T1_sh_L_ND_A_08.c3d	135_P_T1_sh_L_ND_A_10.c3d	135_P_T1_sh_L_ND_A_10.c3d	135_P_T1_sh_L_ND_A_10.c3d	135_P_T1_sh_L_ND_A_10.c3d	135_P_T1_sh_L_ND_A_10.c3d	135_P_T1_sh_L_ND_A_10.c3d	135_P_T1_sh_L_ND_A_10.c3d	135_P_T1_sh_L_ND_A_10.c3d
	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med
	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D
	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	0.304059	0.378053	0.415561	0.246409	0.322673	0.270813	0.172956	0.267282	0.434543	0.236900	0.269212	0.192265	0.075874	0.142202	0.541039	0.303724	0.436206	0.523321	0.276934	0.349336	0.610190	0.571882	0.285634	0.192877	0.569413	0.427838	0.687878	0.300291	0.341878	0.371004	0.293916	0.289171	0.423912	0.332974	0.439152	0.220980	0.228131	0.550797	0.596538	0.491772	0.313919	0.265328	0.343252	0.435676	0.388546	0.634359	0.498739	0.330832	0.736002	0.433014	0.279787	0.241080	0.175208	0.394703	0.207507	0.262742
2	0.292773	0.370842	0.416119	0.224393	0.322618	0.267088	0.175918	0.275316	0.471708	0.235606	0.274641	0.181306	0.087861	0.130970	0.513247	0.327392	0.435950	0.520418	0.353306	0.334017	0.582973	0.578182	0.284283	0.160322	0.564783	0.426607	0.680206	0.297330	0.339510	0.331471	0.280103	0.321285	0.534465	0.344960	0.449530	0.234542	0.255496	0.544854	0.588593	0.482933	0.306656	0.305993	0.347785	0.449809	0.391190	0.623174	0.521420	0.317972	0.700557	0.406382	0.272940	0.234670	0.176117	0.396951	0.205120	0.266775
3	0.285767	0.326186	0.405197	0.230356	0.323689	0.221355	0.170375	0.290063	0.498129	0.234636	0.285618	0.173296	0.092379	0.197923	0.496770	0.344624	0.432361	0.505972	0.416049	0.314340	0.557039	0.584093	0.296897	0.116581	0.547876	0.414553	0.675867	0.278984	0.332108	0.298474	0.272653	0.370579	0.676016	0.334497	0.430327	0.262671	0.306707	0.550405	0.580641	0.480108	0.307370	0.305278	0.358111	0.497996	0.392169	0.600873	0.529895	0.309151	0.711754	0.409734	0.294419	0.232410	0.179893	0.405378	0.205098	0.274276
4	0.334352	0.310030	0.388100	0.289191	0.308911	0.207314	0.170946	0.306630	0.504031	0.225835	0.288637	0.175078	0.085133	0.262822	0.475003	0.359797	0.432824	0.479504	0.437763	0.316536	0.553507	0.583371	0.306301	0.103113	0.536205	0.420942	0.672813	0.251064	0.332837	0.305591	0.286992	0.417509	0.734633	0.332933	0.402580	0.269850	0.357663	0.546095	0.586562	0.485956	0.310148	0.317492	0.371390	0.551651	0.388734	0.579161	0.530317	0.302129	0.714517	0.383589	0.321077	0.232204	0.181482	0.424219	0.205573	0.291462
5	0.334788	0.308092	0.377974	0.308155	0.260660	0.193296	0.176243	0.320067	0.512142	0.203465	0.293045	0.178910	0.084300	0.271037	0.461343	0.372345	0.428072	0.459234	0.442161	0.324551	0.544864	0.570252	0.316362	0.100886	0.510422	0.432260	0.669770	0.234074	0.334020	0.333216	0.285723	0.452238	0.738543	0.362959	0.382883	0.262729	0.405393	0.504954	0.584250	0.502545	0.380145	0.382048	0.370720	0.594990	0.387693	0.547142	0.521472	0.294694	0.625915	0.291273	0.348456	0.226895	0.181879	0.442208	0.207979	0.294479
6	0.331814	0.309043	0.383508	0.298842	0.247146	0.205812	0.174723	0.329076	0.507260	0.225831	0.307327	0.176512	0.129282	0.302377	0.459126	0.377875	0.398573	0.418665	0.442581	0.324741	0.539985	0.567492	0.324006	0.075006	0.511439	0.443751	0.674534	0.255184	0.333445	0.348191	0.280945	0.474269	0.814773	0.414454	0.349173	0.259189	0.443886	0.477266	0.600884	0.519263	0.459368	0.418321	0.358859	0.619060	0.394810	0.529946	0.505219	0.290016	0.467935	0.203779	0.363219	0.215620	0.196754	0.444184	0.218230	0.283740
