	144_P_T1_sh_R_D_A_02.c3d	144_P_T1_sh_R_D_A_02.c3d	144_P_T1_sh_R_D_A_02.c3d	144_P_T1_sh_R_D_A_02.c3d	144_P_T1_sh_R_D_A_02.c3d	144_P_T1_sh_R_D_A_02.c3d	144_P_T1_sh_R_D_A_02.c3d	144_P_T1_sh_R_D_A_02.c3d	144_P_T1_sh_R_D_A_03.c3d	144_P_T1_sh_R_D_A_03.c3d	144_P_T1_sh_R_D_A_03.c3d	144_P_T1_sh_R_D_A_03.c3d	144_P_T1_sh_R_D_A_03.c3d	144_P_T1_sh_R_D_A_03.c3d	144_P_T1_sh_R_D_A_03.c3d	144_P_T1_sh_R_D_A_03.c3d	144_P_T1_sh_R_D_A_04.c3d	144_P_T1_sh_R_D_A_04.c3d	144_P_T1_sh_R_D_A_04.c3d	144_P_T1_sh_R_D_A_04.c3d	144_P_T1_sh_R_D_A_04.c3d	144_P_T1_sh_R_D_A_04.c3d	144_P_T1_sh_R_D_A_04.c3d	144_P_T1_sh_R_D_A_04.c3d	144_P_T1_sh_R_D_A_05.c3d	144_P_T1_sh_R_D_A_05.c3d	144_P_T1_sh_R_D_A_05.c3d	144_P_T1_sh_R_D_A_05.c3d	144_P_T1_sh_R_D_A_05.c3d	144_P_T1_sh_R_D_A_05.c3d	144_P_T1_sh_R_D_A_05.c3d	144_P_T1_sh_R_D_A_05.c3d	144_P_T1_sh_R_D_A_06.c3d	144_P_T1_sh_R_D_A_06.c3d	144_P_T1_sh_R_D_A_06.c3d	144_P_T1_sh_R_D_A_06.c3d	144_P_T1_sh_R_D_A_06.c3d	144_P_T1_sh_R_D_A_06.c3d	144_P_T1_sh_R_D_A_06.c3d	144_P_T1_sh_R_D_A_06.c3d	144_P_T1_sh_R_D_A_07.c3d	144_P_T1_sh_R_D_A_07.c3d	144_P_T1_sh_R_D_A_07.c3d	144_P_T1_sh_R_D_A_07.c3d	144_P_T1_sh_R_D_A_07.c3d	144_P_T1_sh_R_D_A_07.c3d	144_P_T1_sh_R_D_A_07.c3d	144_P_T1_sh_R_D_A_07.c3d	144_P_T1_sh_R_D_A_08.c3d	144_P_T1_sh_R_D_A_08.c3d	144_P_T1_sh_R_D_A_08.c3d	144_P_T1_sh_R_D_A_08.c3d	144_P_T1_sh_R_D_A_08.c3d	144_P_T1_sh_R_D_A_08.c3d	144_P_T1_sh_R_D_A_08.c3d	144_P_T1_sh_R_D_A_08.c3d	144_P_T1_sh_R_D_A_09.c3d	144_P_T1_sh_R_D_A_09.c3d	144_P_T1_sh_R_D_A_09.c3d	144_P_T1_sh_R_D_A_09.c3d	144_P_T1_sh_R_D_A_09.c3d	144_P_T1_sh_R_D_A_09.c3d	144_P_T1_sh_R_D_A_09.c3d	144_P_T1_sh_R_D_A_09.c3d	144_P_T1_sh_R_D_A_10.c3d	144_P_T1_sh_R_D_A_10.c3d	144_P_T1_sh_R_D_A_10.c3d	144_P_T1_sh_R_D_A_10.c3d	144_P_T1_sh_R_D_A_10.c3d	144_P_T1_sh_R_D_A_10.c3d	144_P_T1_sh_R_D_A_10.c3d	144_P_T1_sh_R_D_A_10.c3d
	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med
	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D
	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	0.612090	0.801983	0.219061	0.200552	0.183704	0.452376	0.260122	0.217450	0.524702	0.580768	0.365568	0.181052	0.274237	0.318469	0.315500	0.260020	0.636545	0.599679	0.246723	0.175314	0.352167	0.504984	0.150388	0.167729	0.372301	0.648277	0.255539	0.103735	0.442202	0.581195	0.140627	0.222411	0.617801	0.973027	0.539653	0.425713	0.178164	0.259779	0.288570	0.083851	0.499004	0.520952	0.330849	0.084563	0.700246	0.949899	0.153876	0.208257	0.511933	0.469956	0.261935	0.183731	0.250031	0.382297	0.266116	0.137340	0.511769	0.389292	0.102517	0.054561	0.734473	0.436898	0.211228	0.307569	0.446131	0.610036	0.088994	0.045975	0.227180	0.418037	0.305644	0.176051
2	0.610216	0.739273	0.189368	0.202839	0.179947	0.462414	0.256424	0.218980	0.543663	0.568580	0.344314	0.166783	0.286817	0.314619	0.315728	0.258015	0.615311	0.586524	0.244358	0.157316	0.310308	0.504972	0.149770	0.184753	0.384604	0.613797	0.266564	0.102060	0.435534	0.582023	0.142028	0.229771	0.655158	0.997459	0.539675	0.426407	0.147177	0.258092	0.286714	0.078980	0.497008	0.519682	0.346481	0.081909	0.762292	0.964795	0.150116	0.164891	0.429947	0.423930	0.261895	0.184835	0.136525	0.337710	0.272561	0.141283	0.512577	0.379830	0.109161	0.061935	0.679922	0.427614	0.207144	0.293802	0.415996	0.647613	0.143286	0.074544	0.229142	0.426408	0.305212	0.176391
3	0.543971	0.719764	0.186258	0.206682	0.161847	0.435371	0.254357	0.220477	0.549432	0.564976	0.298063	0.165408	0.294632	0.302886	0.314596	0.258579	0.606415	0.592386	0.269901	0.140356	0.310721	0.514227	0.144324	0.187275	0.388820	0.615437	0.272996	0.115745	0.436733	0.578712	0.166618	0.229603	0.662800	1.116285	0.539726	0.427652	0.110931	0.247261	0.284658	0.077875	0.511499	0.539661	0.346704	0.081081	0.766735	0.960621	0.146658	0.161303	0.443526	0.423276	0.266590	0.184810	0.143585	0.350656	0.270387	0.159113	0.489297	0.387671	0.112123	0.081615	0.543926	0.391116	0.152818	0.251732	0.399663	0.686629	0.176020	0.090767	0.210388	0.445450	0.292436	0.174242
4	0.484997	0.748658	0.186136	0.203444	0.218832	0.363706	0.256924	0.213952	0.532267	0.535214	0.212157	0.162487	0.290076	0.299331	0.312390	0.268046	0.549863	0.477001	0.292697	0.141592	0.321233	0.545437	0.143013	0.171826	0.381178	0.605669	0.236462	0.130707	0.421769	0.595454	0.160447	0.233588	0.609293	1.142093	0.539609	0.427899	0.105362	0.215239	0.273411	0.077235	0.500049	0.540174	0.361694	0.086657	0.766069	0.946390	0.166309	0.162311	0.469779	0.416241	0.232394	0.178840	0.145108	0.352006	0.256220	0.159851	0.513325	0.423415	0.146264	0.100618	0.239107	0.241685	0.116136	0.245075	0.281880	0.704859	0.203748	0.091150	0.195728	0.442418	0.327234	0.195195
5	0.503077	0.846252	0.183796	0.204074	0.249271	0.338711	0.217079	0.194803	0.504733	0.503956	0.204035	0.161231	0.320609	0.301847	0.314801	0.315391	0.487631	0.396016	0.290044	0.122133	0.319079	0.488660	0.147707	0.181807	0.437454	0.625588	0.212857	0.152511	0.415949	0.591611	0.154759	0.241746	0.598375	1.104661	0.538178	0.427351	0.113320	0.231204	0.270771	0.087817	0.409132	0.563113	0.387335	0.096838	0.800636	0.952964	0.173230	0.146697	0.430944	0.304083	0.214284	0.137323	0.146876	0.356592	0.252133	0.158600	0.567168	0.520486	0.181142	0.112605	0.238079	0.248978	0.110864	0.193124	0.256053	0.703666	0.253557	0.093677	0.192577	0.428034	0.328438	0.194533
6	0.518354	0.904051	0.194670	0.203270	0.256453	0.350085	0.217532	0.203357	0.536013	0.525179	0.208111	0.163051	0.330705	0.278602	0.298514	0.360305	0.464821	0.441976	0.274674	0.125545	0.288849	0.496870	0.161071	0.168931	0.465235	0.605324	0.212769	0.154169	0.378154	0.492218	0.159026	0.246590	0.582889	1.067954	0.477422	0.389573	0.090115	0.251763	0.230578	0.093570	0.367083	0.663245	0.391949	0.108134	0.820820	0.962911	0.180118	0.132125	0.440528	0.297545	0.244513	0.149054	0.159143	0.390120	0.253684	0.153705	0.515341	0.564245	0.194046	0.176312	0.224402	0.226655	0.099501	0.084943	0.280797	0.726003	0.260332	0.123542	0.179138	0.422656	0.329905	0.210367
