	181_P_T3_sh_R_ND_A_01.c3d	181_P_T3_sh_R_ND_A_01.c3d	181_P_T3_sh_R_ND_A_01.c3d	181_P_T3_sh_R_ND_A_01.c3d	181_P_T3_sh_R_ND_A_01.c3d	181_P_T3_sh_R_ND_A_01.c3d	181_P_T3_sh_R_ND_A_01.c3d	181_P_T3_sh_R_ND_A_01.c3d	181_P_T3_sh_R_ND_A_02.c3d	181_P_T3_sh_R_ND_A_02.c3d	181_P_T3_sh_R_ND_A_02.c3d	181_P_T3_sh_R_ND_A_02.c3d	181_P_T3_sh_R_ND_A_02.c3d	181_P_T3_sh_R_ND_A_02.c3d	181_P_T3_sh_R_ND_A_02.c3d	181_P_T3_sh_R_ND_A_02.c3d	181_P_T3_sh_R_ND_A_03.c3d	181_P_T3_sh_R_ND_A_03.c3d	181_P_T3_sh_R_ND_A_03.c3d	181_P_T3_sh_R_ND_A_03.c3d	181_P_T3_sh_R_ND_A_03.c3d	181_P_T3_sh_R_ND_A_03.c3d	181_P_T3_sh_R_ND_A_03.c3d	181_P_T3_sh_R_ND_A_03.c3d	181_P_T3_sh_R_ND_A_04.c3d	181_P_T3_sh_R_ND_A_04.c3d	181_P_T3_sh_R_ND_A_04.c3d	181_P_T3_sh_R_ND_A_04.c3d	181_P_T3_sh_R_ND_A_04.c3d	181_P_T3_sh_R_ND_A_04.c3d	181_P_T3_sh_R_ND_A_04.c3d	181_P_T3_sh_R_ND_A_04.c3d	181_P_T3_sh_R_ND_A_05.c3d	181_P_T3_sh_R_ND_A_05.c3d	181_P_T3_sh_R_ND_A_05.c3d	181_P_T3_sh_R_ND_A_05.c3d	181_P_T3_sh_R_ND_A_05.c3d	181_P_T3_sh_R_ND_A_05.c3d	181_P_T3_sh_R_ND_A_05.c3d	181_P_T3_sh_R_ND_A_05.c3d	181_P_T3_sh_R_ND_A_06.c3d	181_P_T3_sh_R_ND_A_06.c3d	181_P_T3_sh_R_ND_A_06.c3d	181_P_T3_sh_R_ND_A_06.c3d	181_P_T3_sh_R_ND_A_06.c3d	181_P_T3_sh_R_ND_A_06.c3d	181_P_T3_sh_R_ND_A_06.c3d	181_P_T3_sh_R_ND_A_06.c3d	181_P_T3_sh_R_ND_A_08.c3d	181_P_T3_sh_R_ND_A_08.c3d	181_P_T3_sh_R_ND_A_08.c3d	181_P_T3_sh_R_ND_A_08.c3d	181_P_T3_sh_R_ND_A_08.c3d	181_P_T3_sh_R_ND_A_08.c3d	181_P_T3_sh_R_ND_A_08.c3d	181_P_T3_sh_R_ND_A_08.c3d	181_P_T3_sh_R_ND_A_09.c3d	181_P_T3_sh_R_ND_A_09.c3d	181_P_T3_sh_R_ND_A_09.c3d	181_P_T3_sh_R_ND_A_09.c3d	181_P_T3_sh_R_ND_A_09.c3d	181_P_T3_sh_R_ND_A_09.c3d	181_P_T3_sh_R_ND_A_09.c3d	181_P_T3_sh_R_ND_A_09.c3d	181_P_T3_sh_R_ND_A_10.c3d	181_P_T3_sh_R_ND_A_10.c3d	181_P_T3_sh_R_ND_A_10.c3d	181_P_T3_sh_R_ND_A_10.c3d	181_P_T3_sh_R_ND_A_10.c3d	181_P_T3_sh_R_ND_A_10.c3d	181_P_T3_sh_R_ND_A_10.c3d	181_P_T3_sh_R_ND_A_10.c3d
	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med
	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D
	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	0.373316	0.058236	0.300552	0.122441	0.059512	0.165147	0.407919	0.091123	0.089196	0.060412	0.532867	0.243424	0.102369	0.253652	0.360124	0.166041	0.132675	0.057060	0.226149	0.119799	0.065978	0.083472	0.386595	0.187315	0.036584	0.118949	0.147601	0.088305	0.184704	0.098227	0.473291	0.188787	0.107988	0.067237	0.463770	0.165763	0.115034	0.131133	0.298098	0.105294	0.311800	0.046083	0.281924	0.112941	0.103983	0.315108	0.427993	0.121417	0.126409	0.040533	0.287431	0.243396	0.176864	0.078547	0.109675	0.050506	0.060317	0.035671	0.163712	0.186724	0.082367	0.236207	0.353162	0.175905	0.443716	0.073708	0.153867	0.042044	0.166900	0.021800	0.475756	0.107448
2	0.373379	0.042257	0.311257	0.133170	0.058491	0.161818	0.419427	0.093369	0.069170	0.057886	0.572722	0.266330	0.098923	0.268460	0.400850	0.169120	0.128954	0.047134	0.226959	0.121251	0.064980	0.084212	0.355726	0.194784	0.036638	0.119733	0.141581	0.063798	0.176667	0.087926	0.462312	0.186943	0.110297	0.069587	0.561552	0.184314	0.118096	0.134540	0.286574	0.103600	0.310964	0.046669	0.281611	0.120635	0.084612	0.313332	0.429691	0.128893	0.093772	0.061584	0.316249	0.239857	0.176363	0.076395	0.107574	0.050867	0.056912	0.035540	0.113284	0.183347	0.078804	0.214794	0.344978	0.175518	0.444163	0.071565	0.435408	0.145165	0.139728	0.031675	0.471879	0.107994
3	0.394886	0.045609	0.317924	0.126730	0.040080	0.159953	0.388448	0.098296	0.063622	0.056209	0.572338	0.285589	0.098250	0.270583	0.410588	0.180818	0.137112	0.031076	0.222172	0.121958	0.057129	0.084556	0.322554	0.194140	0.036247	0.118473	0.138932	0.043043	0.139920	0.077245	0.459951	0.186783	0.121824	0.070890	0.640279	0.189492	0.127442	0.128169	0.232583	0.101752	0.281032	0.043498	0.238704	0.107198	0.060333	0.309474	0.423087	0.132065	0.075249	0.063950	0.319029	0.239871	0.162382	0.082322	0.114541	0.050131	0.054778	0.036598	0.102729	0.172278	0.075443	0.051728	0.334856	0.170459	0.439462	0.062025	0.642405	0.334689	0.119501	0.035836	0.470782	0.108178
4	0.373757	0.039444	0.341548	0.127053	0.039962	0.168745	0.389194	0.114340	0.059506	0.054260	0.561875	0.294858	0.098162	0.270762	0.378994	0.181786	0.146476	0.023169	0.239009	0.122092	0.045708	0.089912	0.303769	0.196551	0.036239	0.111800	0.143265	0.034147	0.100416	0.075207	0.403111	0.186811	0.113373	0.070937	0.662083	0.189494	0.122304	0.125447	0.193618	0.102128	0.232022	0.043121	0.202602	0.128574	0.056581	0.264230	0.420246	0.190332	0.070210	0.063959	0.313510	0.240161	0.144742	0.087113	0.119090	0.048990	0.045926	0.036426	0.082330	0.146423	0.064145	0.020724	0.337788	0.159641	0.437708	0.060962	0.652998	0.457890	0.150655	0.036424	0.448650	0.108130
5	0.366823	0.037553	0.182441	0.123448	0.042344	0.172821	0.376339	0.122761	0.057484	0.054236	0.562188	0.295705	0.097555	0.265976	0.384375	0.179787	0.150352	0.027793	0.263668	0.122021	0.043772	0.097287	0.297597	0.185728	0.035673	0.101680	0.162187	0.035790	0.035279	0.077700	0.296335	0.183069	0.112857	0.070766	0.654603	0.192540	0.112385	0.108446	0.195613	0.099102	0.216753	0.031346	0.204445	0.132806	0.061600	0.332424	0.424321	0.290719	0.061470	0.067746	0.311142	0.205916	0.116154	0.082195	0.229825	0.047006	0.045385	0.035809	0.093649	0.086373	0.056130	0.021319	0.346229	0.163283	0.400616	0.060973	0.669779	0.500904	0.151467	0.038128	0.347066	0.103618
6	0.274022	0.036371	0.217781	0.298490	0.045692	0.174685	0.369536	0.123096	0.056853	0.052972	0.567982	0.284506	0.081531	0.215743	0.402843	0.171327	0.146220	0.034877	0.283296	0.124150	0.044752	0.101500	0.277419	0.170628	0.034645	0.096764	0.167276	0.035705	0.056319	0.125239	0.267481	0.180125	0.112852	0.070418	0.651649	0.191377	0.097615	0.115608	0.205764	0.090112	0.146674	0.025249	0.160990	0.132314	0.083282	0.380603	0.419382	0.321435	0.051474	0.071215	0.322956	0.181856	0.110923	0.078536	0.313566	0.059151	0.037213	0.031232	0.105537	0.049588	0.055052	0.025224	0.339014	0.171648	0.338561	0.058804	0.673163	0.506618	0.150011	0.048654	0.223196	0.096844
