	102_F_P_sh_R_D_A_01.c3d	102_F_P_sh_R_D_A_01.c3d	102_F_P_sh_R_D_A_01.c3d	102_F_P_sh_R_D_A_01.c3d	102_F_P_sh_R_D_A_01.c3d	102_F_P_sh_R_D_A_01.c3d	102_F_P_sh_R_D_A_01.c3d	102_F_P_sh_R_D_A_01.c3d	102_F_P_sh_R_D_A_03.c3d	102_F_P_sh_R_D_A_03.c3d	102_F_P_sh_R_D_A_03.c3d	102_F_P_sh_R_D_A_03.c3d	102_F_P_sh_R_D_A_03.c3d	102_F_P_sh_R_D_A_03.c3d	102_F_P_sh_R_D_A_03.c3d	102_F_P_sh_R_D_A_03.c3d	102_F_P_sh_R_D_A_04.c3d	102_F_P_sh_R_D_A_04.c3d	102_F_P_sh_R_D_A_04.c3d	102_F_P_sh_R_D_A_04.c3d	102_F_P_sh_R_D_A_04.c3d	102_F_P_sh_R_D_A_04.c3d	102_F_P_sh_R_D_A_04.c3d	102_F_P_sh_R_D_A_04.c3d	102_F_P_sh_R_D_A_05.c3d	102_F_P_sh_R_D_A_05.c3d	102_F_P_sh_R_D_A_05.c3d	102_F_P_sh_R_D_A_05.c3d	102_F_P_sh_R_D_A_05.c3d	102_F_P_sh_R_D_A_05.c3d	102_F_P_sh_R_D_A_05.c3d	102_F_P_sh_R_D_A_05.c3d	102_F_P_sh_R_D_A_06.c3d	102_F_P_sh_R_D_A_06.c3d	102_F_P_sh_R_D_A_06.c3d	102_F_P_sh_R_D_A_06.c3d	102_F_P_sh_R_D_A_06.c3d	102_F_P_sh_R_D_A_06.c3d	102_F_P_sh_R_D_A_06.c3d	102_F_P_sh_R_D_A_06.c3d
	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med
	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D
	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	0.537052	0.278520	0.173006	0.074308	0.206649	0.164036	0.284432	0.327874	0.486143	0.135327	0.160813	0.081738	0.245628	0.133951	0.341356	0.340828	0.879678	0.455473	0.122637	0.141241	0.100689	0.136214	0.230881	0.158903	0.764232	0.570009	0.111305	0.347030	0.248385	0.435834	0.253033	0.432386	0.525810	0.591142	0.365206	0.135640	0.085512	0.202306	0.286210	0.194564
2	0.517064	0.281295	0.197071	0.075530	0.202789	0.167987	0.265329	0.337526	0.396623	0.158573	0.141976	0.081390	0.146775	0.102130	0.332040	0.326607	0.610376	0.460569	0.146759	0.162259	0.085696	0.133311	0.218280	0.167051	0.784300	0.284946	0.091002	0.349714	0.203628	0.435985	0.244679	0.442087	0.483485	0.636914	0.334918	0.129266	0.080796	0.195230	0.285956	0.205020
3	0.520253	0.323119	0.232557	0.078217	0.199014	0.176942	0.236857	0.332985	0.200520	0.190538	0.120589	0.086204	0.109229	0.107901	0.309291	0.317513	0.905319	0.482574	0.148466	0.172447	0.073952	0.118318	0.217218	0.177410	0.788057	0.212745	0.097494	0.348883	0.190276	0.470294	0.239102	0.441934	0.467828	0.636931	0.306424	0.128734	0.086244	0.193222	0.277821	0.229301
4	0.514078	0.337443	0.231152	0.091981	0.194232	0.194837	0.256027	0.333685	0.202527	0.224240	0.154789	0.096405	0.112867	0.122016	0.289015	0.314974	0.910498	0.445564	0.150351	0.174109	0.078298	0.140235	0.217094	0.169433	0.808535	0.216904	0.172050	0.295171	0.198719	0.491276	0.258079	0.445538	0.452514	0.637486	0.286658	0.125999	0.102390	0.280156	0.290546	0.232357
5	0.446085	0.336262	0.234454	0.101861	0.163368	0.195883	0.256411	0.339280	0.214919	0.241713	0.161054	0.104381	0.099122	0.139009	0.278410	0.281338	0.909069	0.439539	0.154244	0.158694	0.081932	0.146794	0.208910	0.150783	0.778906	0.224650	0.177003	0.260074	0.185454	0.499499	0.252941	0.462290	0.453690	0.636561	0.274776	0.092616	0.108022	0.333365	0.293062	0.258306
6	0.432222	0.343395	0.248587	0.101947	0.142746	0.227152	0.254912	0.336918	0.323663	0.244379	0.166517	0.104535	0.095844	0.139272	0.270987	0.243521	0.903313	0.443955	0.154765	0.143143	0.082618	0.154960	0.194959	0.143501	0.782949	0.214417	0.267373	0.254728	0.170068	0.519357	0.199593	0.490103	0.440951	0.635544	0.270299	0.079352	0.108709	0.336408	0.292647	0.284096
7	0.413559	0.369807	0.287068	0.102192	0.129167	0.240075	0.258253	0.332701	0.477767	0.278491	0.170952	0.106707	0.088751	0.138491	0.266474	0.251061	0.903307	0.449577	0.155031	0.147281	0.087280	0.169170	0.241790	0.126542	0.757265	0.211011	0.291349	0.254476	0.224013	0.540801	0.193041	0.501400	0.462552	0.637940	0.266141	0.084362	0.108706	0.429002	0.292384	0.296991
