	313_At_T1_sh_R_ND_01.c3d	313_At_T1_sh_R_ND_01.c3d	313_At_T1_sh_R_ND_01.c3d	313_At_T1_sh_R_ND_01.c3d	313_At_T1_sh_R_ND_01.c3d	313_At_T1_sh_R_ND_01.c3d	313_At_T1_sh_R_ND_01.c3d	313_At_T1_sh_R_ND_01.c3d	313_At_T1_sh_R_ND_03.c3d	313_At_T1_sh_R_ND_03.c3d	313_At_T1_sh_R_ND_03.c3d	313_At_T1_sh_R_ND_03.c3d	313_At_T1_sh_R_ND_03.c3d	313_At_T1_sh_R_ND_03.c3d	313_At_T1_sh_R_ND_03.c3d	313_At_T1_sh_R_ND_03.c3d	313_At_T1_sh_R_ND_04.c3d	313_At_T1_sh_R_ND_04.c3d	313_At_T1_sh_R_ND_04.c3d	313_At_T1_sh_R_ND_04.c3d	313_At_T1_sh_R_ND_04.c3d	313_At_T1_sh_R_ND_04.c3d	313_At_T1_sh_R_ND_04.c3d	313_At_T1_sh_R_ND_04.c3d	313_At_T1_sh_R_ND_05.c3d	313_At_T1_sh_R_ND_05.c3d	313_At_T1_sh_R_ND_05.c3d	313_At_T1_sh_R_ND_05.c3d	313_At_T1_sh_R_ND_05.c3d	313_At_T1_sh_R_ND_05.c3d	313_At_T1_sh_R_ND_05.c3d	313_At_T1_sh_R_ND_05.c3d	313_At_T1_sh_R_ND_06.c3d	313_At_T1_sh_R_ND_06.c3d	313_At_T1_sh_R_ND_06.c3d	313_At_T1_sh_R_ND_06.c3d	313_At_T1_sh_R_ND_06.c3d	313_At_T1_sh_R_ND_06.c3d	313_At_T1_sh_R_ND_06.c3d	313_At_T1_sh_R_ND_06.c3d	313_At_T1_sh_R_ND_07.c3d	313_At_T1_sh_R_ND_07.c3d	313_At_T1_sh_R_ND_07.c3d	313_At_T1_sh_R_ND_07.c3d	313_At_T1_sh_R_ND_07.c3d	313_At_T1_sh_R_ND_07.c3d	313_At_T1_sh_R_ND_07.c3d	313_At_T1_sh_R_ND_07.c3d	313_At_T1_sh_R_ND_08.c3d	313_At_T1_sh_R_ND_08.c3d	313_At_T1_sh_R_ND_08.c3d	313_At_T1_sh_R_ND_08.c3d	313_At_T1_sh_R_ND_08.c3d	313_At_T1_sh_R_ND_08.c3d	313_At_T1_sh_R_ND_08.c3d	313_At_T1_sh_R_ND_08.c3d	313_At_T1_sh_R_ND_09.c3d	313_At_T1_sh_R_ND_09.c3d	313_At_T1_sh_R_ND_09.c3d	313_At_T1_sh_R_ND_09.c3d	313_At_T1_sh_R_ND_09.c3d	313_At_T1_sh_R_ND_09.c3d	313_At_T1_sh_R_ND_09.c3d	313_At_T1_sh_R_ND_09.c3d	313_At_T1_sh_R_ND_10.c3d	313_At_T1_sh_R_ND_10.c3d	313_At_T1_sh_R_ND_10.c3d	313_At_T1_sh_R_ND_10.c3d	313_At_T1_sh_R_ND_10.c3d	313_At_T1_sh_R_ND_10.c3d	313_At_T1_sh_R_ND_10.c3d	313_At_T1_sh_R_ND_10.c3d
	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med
	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D
	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	0.027401	0.329546	0.086358	0.352138	0.042361	0.142450	0.137683	0.182220	0.033143	0.112517	0.045329	0.070773	0.074949	0.196543	0.199424	0.256239	0.031539	0.175249	0.103103	0.240513	0.051640	0.188382	0.140472	0.323105	0.034333	0.241563	0.051501	0.219268	0.038613	0.201276	0.101063	0.400304	0.026581	0.113683	0.058951	0.188619	0.016472	0.036065	0.052934	0.254817	0.037119	0.128059	0.066998	0.294088	0.042215	0.214760	0.089813	0.152255	0.017061	0.041362	0.038565	0.102528	0.041462	0.124253	0.196765	0.292357	0.071334	0.193471	0.027666	0.323834	0.030206	0.091082	0.140392	0.188169	0.020634	0.117688	0.034849	0.247828	0.016916	0.130873	0.088232	0.305002
2	0.019585	0.247324	0.085500	0.268428	0.039005	0.129413	0.151667	0.182565	0.030942	0.117072	0.047020	0.059982	0.075526	0.203111	0.199422	0.299384	0.030775	0.159721	0.101526	0.245221	0.056248	0.180954	0.115880	0.316637	0.035984	0.212243	0.066825	0.280992	0.039629	0.199656	0.119841	0.402377	0.019640	0.093762	0.054268	0.191283	0.015788	0.028775	0.057780	0.276387	0.026689	0.096363	0.077727	0.291663	0.045172	0.213272	0.098761	0.154995	0.019746	0.122673	0.041294	0.128802	0.046724	0.136782	0.214852	0.292420	0.060336	0.193800	0.026872	0.314362	0.029982	0.090655	0.141968	0.196191	0.021386	0.112326	0.033948	0.246846	0.017240	0.129282	0.094644	0.312854
3	0.017095	0.212569	0.106654	0.280148	0.031696	0.130923	0.157061	0.173589	0.031363	0.117348	0.066264	0.161480	0.075393	0.209048	0.188299	0.312817	0.030015	0.133975	0.099782	0.247781	0.062785	0.186571	0.109187	0.314305	0.036944	0.191663	0.073003	0.290320	0.039018	0.197125	0.176519	0.404310	0.016258	0.089821	0.065055	0.221009	0.015992	0.027462	0.060977	0.267463	0.033170	0.132634	0.078574	0.411418	0.052199	0.217750	0.100811	0.164992	0.022910	0.227888	0.052918	0.203213	0.047935	0.139173	0.221657	0.291333	0.045144	0.194546	0.025453	0.310964	0.030096	0.125231	0.142638	0.208611	0.021459	0.102879	0.037725	0.244118	0.017537	0.128934	0.185019	0.324444
4	0.015640	0.208941	0.105484	0.244182	0.031258	0.133015	0.153199	0.198530	0.029748	0.113273	0.067185	0.167951	0.074850	0.207685	0.151905	0.302170	0.027803	0.127708	0.099607	0.179755	0.065158	0.182403	0.107453	0.314694	0.034069	0.189293	0.073048	0.306594	0.038945	0.197153	0.214196	0.405435	0.016232	0.091610	0.058405	0.187652	0.015564	0.030444	0.061081	0.259848	0.033561	0.137023	0.077093	0.420936	0.052473	0.225759	0.278740	0.269141	0.021949	0.251224	0.062990	0.231940	0.047873	0.139628	0.216530	0.281993	0.039232	0.182349	0.041246	0.309451	0.030225	0.172474	0.171050	0.212067	0.021607	0.096505	0.044702	0.243948	0.020090	0.141371	0.358476	0.323862
5	0.018249	0.212824	0.141662	0.257419	0.034549	0.132728	0.145727	0.213502	0.026581	0.130708	0.073638	0.172213	0.072976	0.203425	0.145515	0.299035	0.021836	0.116258	0.097605	0.165092	0.065486	0.176751	0.106002	0.315155	0.030028	0.185893	0.071220	0.325574	0.043345	0.217283	0.219016	0.296306	0.015092	0.086445	0.046294	0.177211	0.014063	0.036328	0.060148	0.220024	0.031420	0.236557	0.095774	0.410218	0.052206	0.222356	0.329258	0.308750	0.027451	0.272986	0.142124	0.270211	0.047955	0.143058	0.198758	0.279442	0.039615	0.157023	0.047274	0.305906	0.030749	0.175912	0.307799	0.427393	0.022698	0.077826	0.076449	0.221987	0.019792	0.141266	0.494063	0.349997
6	0.020997	0.206646	0.286499	0.278451	0.039080	0.175063	0.138767	0.207826	0.019708	0.146093	0.088084	0.185768	0.063253	0.165109	0.140943	0.297847	0.016389	0.104005	0.152085	0.181668	0.065465	0.160578	0.101093	0.305799	0.029169	0.185549	0.069997	0.327771	0.039195	0.229451	0.236287	0.304978	0.014990	0.063948	0.046652	0.178891	0.013969	0.036587	0.084550	0.205254	0.032474	0.252827	0.112997	0.421448	0.052182	0.433758	0.360639	0.320239	0.033531	0.307539	0.238071	0.267423	0.047455	0.143917	0.231477	0.275646	0.035942	0.130317	0.058083	0.313373	0.036352	0.207661	0.452493	0.544520	0.022453	0.073800	0.103500	0.182018	0.017170	0.134678	0.512676	0.402694
