	301_At_T2_sh_ND_02.c3d	301_At_T2_sh_ND_02.c3d	301_At_T2_sh_ND_02.c3d	301_At_T2_sh_ND_02.c3d	301_At_T2_sh_ND_02.c3d	301_At_T2_sh_ND_02.c3d	301_At_T2_sh_ND_02.c3d	301_At_T2_sh_ND_02.c3d	301_At_T2_sh_ND_03.c3d	301_At_T2_sh_ND_03.c3d	301_At_T2_sh_ND_03.c3d	301_At_T2_sh_ND_03.c3d	301_At_T2_sh_ND_03.c3d	301_At_T2_sh_ND_03.c3d	301_At_T2_sh_ND_03.c3d	301_At_T2_sh_ND_03.c3d	301_At_T2_sh_ND_04.c3d	301_At_T2_sh_ND_04.c3d	301_At_T2_sh_ND_04.c3d	301_At_T2_sh_ND_04.c3d	301_At_T2_sh_ND_04.c3d	301_At_T2_sh_ND_04.c3d	301_At_T2_sh_ND_04.c3d	301_At_T2_sh_ND_04.c3d	301_At_T2_sh_ND_05.c3d	301_At_T2_sh_ND_05.c3d	301_At_T2_sh_ND_05.c3d	301_At_T2_sh_ND_05.c3d	301_At_T2_sh_ND_05.c3d	301_At_T2_sh_ND_05.c3d	301_At_T2_sh_ND_05.c3d	301_At_T2_sh_ND_05.c3d	301_At_T2_sh_ND_06.c3d	301_At_T2_sh_ND_06.c3d	301_At_T2_sh_ND_06.c3d	301_At_T2_sh_ND_06.c3d	301_At_T2_sh_ND_06.c3d	301_At_T2_sh_ND_06.c3d	301_At_T2_sh_ND_06.c3d	301_At_T2_sh_ND_06.c3d	301_At_T2_sh_ND_07.c3d	301_At_T2_sh_ND_07.c3d	301_At_T2_sh_ND_07.c3d	301_At_T2_sh_ND_07.c3d	301_At_T2_sh_ND_07.c3d	301_At_T2_sh_ND_07.c3d	301_At_T2_sh_ND_07.c3d	301_At_T2_sh_ND_07.c3d	301_At_T2_sh_ND_08.c3d	301_At_T2_sh_ND_08.c3d	301_At_T2_sh_ND_08.c3d	301_At_T2_sh_ND_08.c3d	301_At_T2_sh_ND_08.c3d	301_At_T2_sh_ND_08.c3d	301_At_T2_sh_ND_08.c3d	301_At_T2_sh_ND_08.c3d	301_At_T2_sh_ND_09.c3d	301_At_T2_sh_ND_09.c3d	301_At_T2_sh_ND_09.c3d	301_At_T2_sh_ND_09.c3d	301_At_T2_sh_ND_09.c3d	301_At_T2_sh_ND_09.c3d	301_At_T2_sh_ND_09.c3d	301_At_T2_sh_ND_09.c3d	301_At_T2_sh_ND_10.c3d	301_At_T2_sh_ND_10.c3d	301_At_T2_sh_ND_10.c3d	301_At_T2_sh_ND_10.c3d	301_At_T2_sh_ND_10.c3d	301_At_T2_sh_ND_10.c3d	301_At_T2_sh_ND_10.c3d	301_At_T2_sh_ND_10.c3d
	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med
	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D
	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	0.135148	0.257615	0.249553	0.239937	0.165345	0.205478	0.280503	0.385089	0.218907	0.283534	0.271167	0.246268	0.191204	0.124762	0.310837	0.444350	0.287996	0.189261	0.385070	0.144130	0.094245	0.097404	0.422716	0.347926	0.060177	0.076124	0.399535	0.269129	0.110632	0.144507	0.156942	0.168514	0.202551	0.190114	0.300480	0.214205	0.157006	0.153221	0.189455	0.230181	0.102459	0.120717	0.252789	0.298699	0.086743	0.423234	0.209219	0.217972	0.043487	0.107506	0.314497	0.113241	0.038109	0.051872	0.245287	0.425148	0.121395	0.189852	0.198136	0.238912	0.046696	0.080544	0.266840	0.256526	0.098065	0.278127	0.240066	0.232577	0.038498	0.051064	0.363989	0.150809
2	0.133771	0.256018	0.212820	0.265228	0.167484	0.212369	0.264396	0.379724	0.183277	0.240987	0.263106	0.234180	0.119779	0.086976	0.266350	0.414787	0.284644	0.163849	0.387664	0.152987	0.057403	0.096273	0.398837	0.349510	0.066987	0.081632	0.402306	0.307632	0.109466	0.167189	0.158383	0.159053	0.196201	0.187398	0.275090	0.202420	0.152560	0.159048	0.179302	0.212930	0.103127	0.117342	0.251711	0.298077	0.086768	0.409382	0.202709	0.217390	0.047841	0.111671	0.283114	0.117310	0.034237	0.056890	0.199698	0.401802	0.105255	0.187409	0.197745	0.246413	0.044882	0.083690	0.276596	0.251313	0.097278	0.269549	0.236758	0.215199	0.039578	0.055479	0.361807	0.154474
3	0.132743	0.254767	0.220022	0.295240	0.166066	0.212465	0.256803	0.370060	0.143378	0.209607	0.216491	0.235319	0.066876	0.094612	0.283399	0.382034	0.250183	0.139455	0.384943	0.153980	0.048139	0.095044	0.388113	0.329694	0.070909	0.094594	0.404411	0.330397	0.111322	0.162640	0.143398	0.131885	0.184050	0.187119	0.244344	0.168890	0.131362	0.156593	0.183131	0.249379	0.103025	0.116175	0.232889	0.290783	0.085511	0.370376	0.185613	0.222062	0.048339	0.108286	0.257402	0.121664	0.040300	0.131991	0.193143	0.362096	0.096436	0.161065	0.281902	0.248329	0.044556	0.079391	0.276017	0.240082	0.088431	0.262827	0.247075	0.226572	0.036021	0.078551	0.371916	0.140394
4	0.133120	0.254877	0.232446	0.323020	0.166443	0.210735	0.257926	0.332964	0.130109	0.226848	0.156620	0.241611	0.046084	0.082769	0.278891	0.374672	0.191769	0.134517	0.382672	0.152624	0.054310	0.096399	0.394915	0.292492	0.068358	0.097386	0.420567	0.329553	0.102705	0.173243	0.137332	0.156062	0.159530	0.178342	0.239408	0.126689	0.122465	0.153088	0.193627	0.251527	0.099446	0.125560	0.262143	0.302381	0.087691	0.306973	0.184713	0.214755	0.046400	0.108344	0.236136	0.132019	0.039355	0.144977	0.197798	0.360088	0.091100	0.147887	0.420444	0.262446	0.044609	0.075697	0.264061	0.236467	0.081716	0.255780	0.397340	0.251669	0.037060	0.080290	0.415024	0.138622
5	0.123801	0.247814	0.226418	0.345035	0.167404	0.200221	0.298326	0.288542	0.136880	0.235798	0.150424	0.262467	0.040975	0.076024	0.288134	0.375716	0.164869	0.137684	0.396492	0.153716	0.055855	0.092473	0.348078	0.286917	0.063963	0.096014	0.460905	0.335896	0.119849	0.202467	0.180119	0.151697	0.121877	0.147059	0.234635	0.123308	0.116361	0.148149	0.254965	0.275172	0.094802	0.151698	0.274383	0.363113	0.096341	0.222710	0.195988	0.208419	0.044266	0.107089	0.239121	0.172849	0.040002	0.146047	0.291464	0.395766	0.092351	0.146771	0.470216	0.348190	0.045374	0.075230	0.261476	0.230229	0.080733	0.256231	0.494727	0.308134	0.038274	0.081324	0.492841	0.175744
6	0.107700	0.231757	0.240178	0.351993	0.148252	0.181162	0.310030	0.255583	0.148526	0.235506	0.146586	0.283310	0.035597	0.078228	0.245810	0.314611	0.165526	0.143132	0.398533	0.170969	0.055675	0.092499	0.355295	0.287004	0.062896	0.094702	0.474323	0.355966	0.135386	0.209870	0.241389	0.162760	0.083134	0.110880	0.236861	0.114457	0.113907	0.145755	0.280579	0.275738	0.092635	0.162544	0.264459	0.399831	0.093919	0.164197	0.204517	0.193450	0.042868	0.104613	0.241019	0.349939	0.045522	0.144071	0.297324	0.318161	0.090528	0.161044	0.468088	0.447817	0.045307	0.074939	0.262530	0.228494	0.073864	0.236753	0.482410	0.320947	0.041912	0.088112	0.528990	0.197496
